Angle,Pressure
264,1.347849462
265,1.352956989
266,1.355645161
267,1.360752688
268,1.363575269
269,1.36827957
270,1.371236559
271,1.376344086
272,1.378897849
273,1.385080645
274,1.38844086
275,1.394489247
276,1.397983871
277,1.405241935
278,1.408198925
279,1.414247312
280,1.417069892
281,1.422849462
282,1.426478495
283,1.431989247
284,1.434946237
285,1.441397849
286,1.44422043
287,1.448655914
288,1.452016129
289,1.458064516
290,1.459946237
291,1.465725806
292,1.468413978
293,1.472983871
294,1.474327957
295,1.479569892
296,1.48077957
297,1.485215054
298,1.486155914
299,1.490725806
300,1.492069892
301,1.495698925
302,1.496774194
303,1.500134409
304,1.499731183
305,1.502016129
306,1.502016129
307,1.503629032
308,1.502956989
309,1.505241935
310,1.504301075
311,1.506854839
312,1.506317204
313,1.509408602
314,1.508333333
315,1.510483871
316,1.508870968
317,1.510215054
318,1.507526882
319,1.509139785
320,1.507123656
321,1.508333333
322,1.507258065
323,1.509677419
324,1.509274194
325,1.5125
326,1.513172043
327,1.516397849
328,1.518010753
329,1.521774194
330,1.523655914
331,1.529569892
332,1.533870968
333,1.541666667
334,1.54811828
335,1.558870968
336,1.568145161
337,1.582258065
338,1.595564516
339,1.615053763
340,1.634543011
341,1.659543011
342,1.685887097
343,1.717741935
344,1.75094086
345,1.790188172
346,1.832258065
347,1.87983871
348,1.931989247
349,1.992473118
350,2.057123656
351,2.127150538
352,2.197715054
353,2.267607527
354,2.330241935
355,2.38844086
356,2.437768817
357,2.483064516
358,2.520833333
359,
